dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
1.8,16,funnel_scale,1,AH_exp,1555.8960827523304,1771.5855709607354,7.8826184e7,1.8136993265729095e6,-0.08834630986493874,7.892407296298622,71.32352402097794,0.0,false
1.8,18,funnel_scale,1,AH_fix,1999.7208520967285,2858.2410735583167,7.2075024e7,30000.69388298482,0.44631443731370024,5.90807792634648,97.72700001777807,0.0,false
3.2,16,funnel_scale,1,AH_exp,1598.249200462847,3374.6499999082175,8.4178026e7,6.14742967029004e7,0.660260471068881,3.5826807848301256,195.0278757638022,0.0,false
0.6,5,funnel_scale,1,AM,2260.386572431685,1738.6599738317389,2.8695166e7,6.902384491240858,-0.3470794589342754,11.435012764484696,47.480212834428315,0.0,false
3.4,16,funnel_scale,1,AM,1606.1378620705252,3912.8128565321795,4.4181134e7,1.1824366583321398e7,0.6341196824170183,3.064243678751366,229.16805951432178,0.0,false
2.6,20,funnel_scale,1,AM,1389.2677647102544,2327.666193122499,4.2565281e7,35480.18320526026,0.7529043928619109,4.603338219719212,193.7937695261317,0.0,false
2.8,6,funnel_scale,1,AH_fix,1463.2047833263425,1878.8633478664763,7.4736164e7,1.6229680422172004e7,1.147984662200401,5.127656261770365,196.18600522610603,0.0,false
3.4,7,funnel_scale,1,AH_exp,1754.7529827980754,4108.57088788863,6.9635196e7,3.4286106007337295e7,0.7441988496038997,2.895731318465058,233.91703594320575,0.0,false
1.2,6,funnel_scale,1,NUTS,1317.3816883051804,194.54040136999143,21874617,1.9848535744603558e10,6.832699640846253,0.9429557224476423,990.7378167878179,0.0,false
1.8,8,funnel_scale,1,AM,1749.634349254689,2903.7082332677574,3.7130921e7,2308.0072834798084,0.2766973186143864,5.292279205251514,102.60630642795299,0.0,false
0.2,8,funnel_scale,1,AM,115443.3809015971,114718.08369638551,1.7845583e7,6.3915229849197255,-0.008710632278092824,9.048349995865589,1.9062800940695297,0.0013952796555511677,false
2.8,15,funnel_scale,1,AH_unif,1536.5565176697908,3642.6610065641426,6.6005972e7,146419.1497640915,0.14939576316046488,3.7629448911060837,167.1634699934266,0.0,false
1.0,16,funnel_scale,1,AM,2893.9428081858614,3598.9058590931622,3.2972859e7,96.49262756884156,0.1914850446151568,7.133532423342391,40.87973302833949,0.0,false
1.6,12,funnel_scale,1,AH_unif,2715.257431819025,3976.7587585340075,6.0173444e7,32693.54182406528,0.5064298618191073,5.465629606373087,113.81112041160611,0.0,false
0.2,19,funnel_scale,1,AM,114025.34541938703,113697.46419254501,1.7840777e7,6.401145098822145,0.01102273005552841,9.012436644666684,2.300190766954074,5.074954283797775e-5,false
3.4,1,funnel_scale,1,NUTS,2387.693641435434,41.292693243077785,152333689,3.688317591359342e47,14.942665815734863,0.2839383140595302,1023.9992184258557,0.0,false
1.2,15,funnel_scale,1,AH_exp,3265.0746872563996,4139.615543166551,6.0853572e7,3570.5987184823775,0.32307202132688834,6.766173287680015,61.945519549130694,0.0,false
2.2,5,funnel_scale,1,AH_unif,1168.1748606889525,828.922005731717,1.2573443e8,9.414142445925824e6,-2.329801132503348,6.497241123441325,534.3681002712713,0.0,false
3.8,2,funnel_scale,1,AM,1329.0665070418745,3642.249006215407,4.256461e7,451260.4021373833,0.5209995613902533,2.9321598962974824,252.75292860484467,0.0,false
0.6,4,funnel_scale,1,AH_fix,5763.071333139926,5678.7943266761085,3.639706e7,9.323709381458652,-0.005547283764680548,9.133392705604194,4.436292065351779,1.609171070318176e-17,false
2.8,16,funnel_scale,1,AH_exp,1313.1664079545963,2314.7319514950054,7.964681e7,323704.46837639064,-0.38737051915923915,4.913534006128762,144.08058730497774,0.0,false
0.6,16,funnel_scale,1,AH_unif,4857.6297092758905,4608.899202388972,3.3089712e7,9.396867244410513,-0.10843762617993044,9.429986351338213,13.494844687564012,1.3230313627973383e-158,false
1.2,9,funnel_scale,1,AH_unif,2354.0443159087577,2744.638204476432,5.1789382e7,859.762843680802,0.1150641978409253,7.688787383323927,27.293731546750408,0.0,false
0.8,5,funnel_scale,1,AH_unif,3665.4427102007935,3827.454835812627,4.3738954e7,58.44406317596821,0.07292321841355286,8.60002183529948,13.179259279144716,2.7121615281088475e-151,false
3.4,13,funnel_scale,1,AH_exp,1570.3922771750822,2911.7207248530376,6.954943e7,2.72068186833729e8,0.9671572522975764,3.420898558769035,249.61144333109547,0.0,false
4.0,9,funnel_scale,1,AM,1136.7127145961147,2153.606109440402,7.5474259e7,1213.2735487243287,-2.0140850753650463,0.25171129658476976,690.7891483328267,0.0,false
0.8,4,funnel_scale,1,NUTS,1348.891182542842,767.4036186639289,16962308,16299.763565988664,3.2338046869468693,2.0576188174129832,679.2069006929139,0.0,false
